"old_url","new_path","type"
"https://www.paulcee.co.uk/blog/?bike-night-2019","/blog/bike-night-2019/","post"
"https://www.paulcee.co.uk/blog/?looking-for-gold-on-the-beach-metal-detecting","/blog/looking-for-gold-on-the-beach-metal-detecting/","post"
"https://www.paulcee.co.uk/blog/?minelab-equinox-settings","/blog/minelab-equinox-settings/","post"
"https://www.paulcee.co.uk/blog/?spring-detectival-2019","/blog/spring-detectival-2019/","post"
"https://www.paulcee.co.uk/blog/?hambledon-hoard","/blog/hambledon-hoard/","post"
"https://www.paulcee.co.uk/blog/?minelab-equinox-800-4-tone-set-up","/blog/minelab-equinox-800-4-tone-set-up/","post"
"https://www.paulcee.co.uk/blog/?minelab-equinox-beach-settings-paul-cee","/blog/minelab-equinox-beach-settings-paul-cee/","post"
"https://www.paulcee.co.uk/blog/?minelab-equinox-metal-armcup-not-plastic","/blog/minelab-equinox-metal-armcup-not-plastic/","post"
"https://www.paulcee.co.uk/blog/?minelab-equinox-gold-chain","/blog/minelab-equinox-gold-chain/","post"
"https://www.paulcee.co.uk/blog/?minelab-equinox-800-gold-settings","/blog/minelab-equinox-800-gold-settings/","post"
"https://www.paulcee.co.uk/blog/?minelab-equinox-beach-settings","/blog/minelab-equinox-beach-settings/","post"
"https://www.paulcee.co.uk/blog/?minelab-equinox-headphones","/blog/minelab-equinox-headphones/","post"
"https://www.paulcee.co.uk/blog/?minelab-equinox-15-inch-coil-review","/blog/minelab-equinox-15-inch-coil-review/","post"
"https://www.paulcee.co.uk/blog/?equinox-eqx-15-dd-smart-coil","/blog/equinox-eqx-15-dd-smart-coil/","post"
"https://www.paulcee.co.uk/blog/?minelab-equinox-custom-cover","/blog/minelab-equinox-custom-cover/","post"
"https://www.paulcee.co.uk/blog/?equinox-800-and-silver-coins","/blog/equinox-800-and-silver-coins/","post"
"https://www.paulcee.co.uk/blog/?minelab-waterproof-headphones-review","/blog/minelab-waterproof-headphones-review/","post"
"https://www.paulcee.co.uk/blog/?fine-gold-minelab-equinox-800","/blog/fine-gold-minelab-equinox-800/","post"
"https://www.paulcee.co.uk/blog/?equinox-custom-settings-find-gold","/blog/equinox-custom-settings-find-gold/","post"
"https://www.paulcee.co.uk/blog/?minelab-ctx3030-gold-metal-detecting","/blog/minelab-ctx3030-gold-metal-detecting/","post"
"https://www.paulcee.co.uk/blog/?minelab-equinox-saltwater","/blog/minelab-equinox-saltwater/","post"
"https://www.paulcee.co.uk/blog/?equinox-wet-sand-settings","/blog/equinox-wet-sand-settings/","post"
"https://www.paulcee.co.uk/blog/?review-minelab-equinox-15-inch-coil","/blog/review-minelab-equinox-15-inch-coil/","post"
"https://www.paulcee.co.uk/blog/?beach-metal-detecting-find-more-gold","/blog/beach-metal-detecting-find-more-gold/","post"
"https://www.paulcee.co.uk/blog/?equinox-deep-settings-super-result","/blog/equinox-deep-settings-super-result/","post"
"https://www.paulcee.co.uk/blog/?deep-setting-more-gold","/blog/deep-setting-more-gold/","post"
"https://www.paulcee.co.uk/blog/?minelab-equinox-depth","/blog/minelab-equinox-depth/","post"
